Nombre de Registro,Origen,ID,Nivel,Categoria de Tarea,Registrado,Equipo,Usuario,Mensaje,EventRecordID
System,Microsoft-Windows-TPM-WMI,1041,Información,Ninguno,2025-01-21 18:28:59,CamiloMM,NT AUTHORITY\SYSTEM,"Información detallada sobre la comprobación del estado de la atestación previa: {""Version"":1,""HealthStatus"":""Attestable"",""Required"":[{""Field"":""TpmPresent"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmMeetsMinimumVersion"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmIsResponsive"",""Value"":true,""DesiredValue"":true},{""Field"":""EkCertIsAvailable"",""Value"":true,""DesiredValue"":true},{""Field"":""TcgLogFound"",""Value"":true,""DesiredValue"":true}],""Expected"":[{""Field"":""PcrsMatchTcgLog"",""Value"":true,""DesiredValue"":true}],""Informational"":[{""Field"":""SecureBootEnabled"",""ValueFromComputer"":true,""ValueFromTcgLog"":true,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""VirtualSecureMemory"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""SecureCorePCCompliant"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true}]}",25901
System,Microsoft-Windows-Kernel-Power,566,Información,268,2025-01-21 18:28:59,CamiloMM,,La sesión del sistema ha cambiado de 17 a 18.  Motivo SxTransition   BootId: 46,25900
System,Microsoft-Windows-Kernel-Boot,32,Información,58,2025-01-21 18:28:59,CamiloMM,,Bootmgr esperó la entrada del usuario durante 0 ms.,25899
System,Microsoft-Windows-Kernel-Boot,18,Información,57,2025-01-21 18:28:59,CamiloMM,,Existen 0x1 opciones de arranque en este sistema.,25898
System,Microsoft-Windows-Kernel-Boot,247,Información,99,2025-01-21 18:28:59,CamiloMM,,"No se puede cargar el firmware de Pluton-Windows. StatusCode: STATUS_SUCCESS, Motivo: Failed to apply firmware.",25897
System,Microsoft-Windows-Kernel-Boot,27,Información,33,2025-01-21 18:28:59,CamiloMM,,El tipo de arranque fue 0x1.,25896
System,Microsoft-Windows-Kernel-Boot,25,Información,32,2025-01-21 18:28:59,CamiloMM,,La directiva del menú de arranque fue 0x1.,25895
System,Microsoft-Windows-Kernel-Boot,30,Información,21,2025-01-21 18:28:59,CamiloMM,,El firmware notificó métricas de arranque.,25894
System,Intel-SST-OED,28,Información,This task logs error codes to system event log.,2025-01-21 18:28:58,CamiloMM,,"Loaded DSP FW library: Libs\dsp_lib_whm_adl_release.bin, status = STATUS_SUCCESS.",25893
System,Intel-SST-OED,28,Información,This task logs error codes to system event log.,2025-01-21 18:28:58,CamiloMM,,"Loaded DSP FW library: Libs\dsp_lib_whm_adl_release.bin, status = STATUS_SUCCESS.",25892
System,Intel-SST-OED,28,Información,This task logs error codes to system event log.,2025-01-21 18:28:58,CamiloMM,,"Loaded DSP FW library: Libs\dsp_lib_intel_wov_adl_release.bin, status = STATUS_SUCCESS.",25891
System,Netwtw12,7025,Información,Ninguno,2025-01-21 18:28:58,CamiloMM,,7025 - Dump after return from D3 before cmd ,25890
System,Microsoft-Windows-Kernel-General,1,Información,5,2025-01-21 18:28:57,CamiloMM,,La hora del sistema ha cambiado a ‎2025‎-‎01‎-‎21T23:28:57.500000000Z de ‎2025‎-‎01‎-‎21T22:13:56.250773300Z. Diferencia horaria: 4501249 ms  Motivo del cambio: System time synchronized with the hardware clock. Proceso: '' (PID 4).  Hora de RTC: ‎2025‎-‎01‎-‎21T18:28:57.500000000Z Diferencia de zona horaria actual: 300 hora RTC es UTC: false La hora del sistema se basaba en la hora RTC: false,25889
System,Microsoft-Windows-Kernel-Power,107,Información,102,2025-01-21 17:13:56,CamiloMM,,El sistema se reanudó del estado de suspensión.,25888
System,Microsoft-Windows-Kernel-Power,42,Información,64,2025-01-21 17:13:53,CamiloMM,,El sistema está entrando en suspensión.  Motivo de la suspensión: Application API,25887
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 17:13:53,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25886
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 17:13:53,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25885
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 17:13:53,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25884
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 17:13:53,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25883
System,Microsoft-Windows-Kernel-Power,566,Información,268,2025-01-21 17:13:52,CamiloMM,NT AUTHORITY\SYSTEM,La sesión del sistema ha cambiado de 16 a 17.  Motivo Unknown   BootId: 46,25882
System,Microsoft-Windows-Kernel-Power,187,Información,243,2025-01-21 17:13:52,CamiloMM,NT AUTHORITY\SYSTEM,El proceso de modo de usuario intentó cambiar el estado del sistema llamando a las API SetSuspendState o SetSystemPowerState.,25881
System,Win32k,267,Información,Ninguno,2025-01-21 17:13:52,CamiloMM,,La comprobación de control de calidad de hardware táctil se realizó correctamente.,25880
System,Microsoft-Windows-Winlogon,7002,Información,1102,2025-01-21 17:13:51,CamiloMM,NT AUTHORITY\SYSTEM,Notificación de cierre de sesión de usuario para el Programa para la mejora de la experiencia del usuario,25879
System,Microsoft-Windows-IsolatedUserMode,2,Información,Ninguno,2025-01-21 17:13:49,CamiloMM,CAMILOMM\monsa,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.,25878
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 17:13:45,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25877
System,Microsoft-Windows-IsolatedUserMode,5,Información,Ninguno,2025-01-21 17:13:43,CamiloMM,CAMILOMM\monsa,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.,25876
System,Microsoft-Windows-IsolatedUserMode,2,Información,Ninguno,2025-01-21 17:13:43,CamiloMM,CAMILOMM\monsa,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.,25875
System,Microsoft-Windows-Kernel-General,15,Información,10,2025-01-21 17:09:30,CamiloMM,NT AUTHORITY\SYSTEM,El subárbol \SystemRoot\System32\config\DRIVERS se reorganizó con un tamaño inicial de 6094848 bytes y un tamaño final de 6004736 bytes.,25874
System,Microsoft-Windows-Kernel-General,16,Información,Ninguno,2025-01-21 17:09:25,CamiloMM,NT AUTHORITY\SYSTEM,El historial de accesos en el subárbol \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat se borró mediante la actualización de 0 claves y la creación de 0 páginas modificadas.,25873
System,Tcpip,4266,Advertencia,Ninguno,2025-01-21 16:29:45,CamiloMM,,Error en una solicitud para asignar un número de puerto efímero del espacio de puertos UDP global porque todos los puertos están en uso.,25872
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 15:41:31,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25871
